sample_id,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Mitochondrion
P41019091104746,2.741308661662189e-05,3.537585929251966e-06,1.6950932577665674e-05,4.5448152563306515e-06,4.421982411564958e-06,1.709833199138451e-05,1.1423454563209473e-05,7.3699706859415966e-06,0.00021999362497535663,0.0001591913668163385
P41019091104751,4.867821215606915e-05,4.569536547864959e-05,5.5558572781418215e-05,3.87037248589655e-05,0.00026718055225221347,4.413473141175582e-05,5.08766705807369e-05,0.0001229779644712291,4.7443275633570614e-05,0.0003520790454912345
P41019091104753,0.00010369935666717054,2.4901562770248152e-05,0.00030338216180494644,0.00015267700250536762,0.00010084569538177419,0.00022709999892957084,0.00016507144551318343,4.394393430043792e-05,9.577524142403136e-05,0.00018140957493257705
P41019091104756,7.1643689422576155e-06,1.2955713861183308e-06,6.342901577870993e-06,2.969017759854507e-06,2.159285643530551e-06,4.021669511075651e-06,2.564151701692529e-06,1.3495535272065946e-06,7.557499752356928e-06,0.0002545257952311636
P41019091109805,1.3988857032584527e-05,1.723035325537703e-06,7.919335438529059e-05,9.719686451751146e-06,7.952470733250937e-06,1.1994976689320163e-05,2.518282398862797e-05,6.627058944375781e-07,1.060329431100125e-05,0.0003538849476296667
P41019091109813,2.3567856862721034e-06,1.379790892690213e-06,2.1682428313703345e-05,8.377301848476291e-06,3.942259693400608e-06,1.5867595265937442e-05,6.898954463451064e-06,4.92782461675076e-07,5.7655548015983886e-05,0.0003907764921083353
P41019091109817,2.1881214199319986e-06,1.928691455173594e-06,2.6519507508636924e-05,4.620823278020069e-06,1.2054321594834965e-05,1.4224099481905259e-05,1.2054321594834964e-05,6.027160797417482e-07,1.2657037674576713e-05,0.0004327501452545752
P41019091109831,2.6107167410019006e-06,3.7387434083404562e-06,9.346858520851142e-06,6.420064438564421e-06,9.630096657846633e-06,7.1942486796854264e-06,3.6820957809413588e-06,3.965333917936848e-06,2.265905095963913e-06,0.00045657987683672853
P41019091109837,2.768356216659266e-06,5.4806444593102446e-06,3.868690206571938e-05,1.2358315937660357e-05,5.426912650885635e-05,1.0692629876497438e-05,2.3373336664705453e-05,7.522453179445433e-06,6.447817010953229e-06,0.0004056751536058073
P41019091109844,2.771852942114008e-05,1.219615294530164e-05,1.6631117652684054e-05,3.245377819725152e-05,8.904577576541255e-05,1.929902610946879e-05,6.513854413967921e-05,3.2222790452075353e-05,4.5042610309352655e-06,0.00054362965827211
Saliva-01A,1.5974756295220677e-05,3.156941263893577e-05,2.6226896653885102e-05,2.7683946467989827e-05,0.0002277854542717058,1.7630302750667207e-05,1.4327656505363158e-05,0.0003628054037120772,5.828199256418911e-06,0.0002540123509255909
Saliva-01B,5.613180778409133e-05,0.00026057518108945146,0.00015243133123019292,7.072264466986428e-05,0.002355476044077373,8.033543132402059e-05,0.00013698220982172744,0.0034770822583319685,5.25270127887827e-05,0.0003244315495777755
Saliva-01C,4.855399087114647e-05,0.00025084417298249455,0.00013233279934598188,0.00011811927645326531,0.0001940881057074401,5.0874609526344146e-05,0.00010219032838384157,0.004961009611037143,0.0001889418301773186,0.00039332248694500183
Saliva-01D,1.2408615693559462e-05,6.738228607589003e-05,1.4648323059976094e-05,1.4973841350197784e-05,0.0010981359520628746,1.7773298646104327e-05,8.544855118319387e-06,2.4413871766626823e-06,8.788993835985656e-06,0.0005136678619698284
Saliva-01E,4.483562456762721e-05,0.0004087172913053314,0.00023861591993708727,9.677500439886384e-05,0.0018906137223006238,0.00019094659958848178,0.00023888523813114722,0.0015130296142286189,8.025682182985554e-05,0.00033880228812737675
Saliva-01F,5.0017431696443884e-05,0.0002494884198878832,9.01959426321592e-05,7.811612888678073e-05,0.001162883403221767,6.571418677485885e-05,7.086824063955367e-05,0.001894920116191702,5.717778506145807e-05,0.0004670861314879673
Saliva-01G,0.00013002436106155114,0.0006914096021646253,0.0005687943392365788,0.00032066258050921225,0.007836382681777509,0.0002007958539855305,0.000458089400727446,0.005054253054692821,0.00016491218426188054,0.000505425305469282
Saliva-01H,2.1421544746220667e-05,9.080828605417805e-05,0.00011711615037482938,5.076956272406397e-05,0.0005238495790164783,4.182719656243906e-05,7.182739271756776e-05,0.00039173333056408447,0.00028096337552976306,0.0002071167388402155
Saliva-02A,5.373738313332109e-05,6.46454696224012e-05,4.92536911408771e-05,3.9505564769245166e-05,0.002356481285521339,6.91860442744508e-05,2.6550817880629062e-05,0.00030398762501010083,0.0001823925750060605,0.0002239503769061756
Saliva-02B,3.0516018117717766e-05,0.00014142203049117682,4.796188209763781e-05,3.372183331455045e-05,0.002766063954417866,2.369264558265824e-05,3.4333369151860947e-05,3.1450414490254308e-06,2.096694299350287e-05,0.0008706523078052066
Saliva-02C,8.59699108018203e-05,0.0002444716909499418,0.00025673261842375504,0.00012509880315921158,0.0041985896821494575,9.709160842207464e-05,0.000211921106844336,0.002256135131602696,0.000967804173694398,0.0006466550073752278
Saliva-02D,5.5390078083866247e-05,0.00028027379510436325,0.000556962543948826,0.00028168220613503846,0.0006184204798328343,0.00021945604605247995,0.00028520323371172644,0.001458985790413074,0.00022726632540440606,0.00040203733057455487
Saliva-02E,5.671061274941291e-06,1.5586086379939916e-05,6.934487584295302e-06,8.585556056746562e-06,9.047855229032916e-05,2.971923250412272e-06,2.9719232504122714e-06,1.9812821669415147e-06,8.585556056746562e-06,0.000538908749408092
Saliva-02F,9.902602289544015e-05,0.0005099540342550083,0.0001530965501324538,0.00013363382554104075,0.007328405432766707,9.323717827886375e-05,0.00013654557173975609,0.002667466017623114,0.00012137384154644988,0.00026573515308275764
Saliva-02G,1.0780882337273022e-05,4.64489000981946e-05,4.278188166938977e-05,2.9685387280801058e-05,0.0005814843508533385,1.536655341594408e-05,2.8521254446259845e-05,0.0007363140178473205,2.1536457439012533e-05,0.00015366553415944081
Saliva-02H,2.201325074715925e-05,2.4608108796126065e-05,9.58160558010081e-05,4.619913145632863e-05,0.00021426025762144243,4.242777378642424e-05,7.248078021847474e-05,0.00024820247665058184,4.454916247574545e-05,0.00025951654966029504
Saliva-03A,1.7658348970030725e-05,0.00013820632229542674,1.8509775307423224e-05,1.7883840876737416e-05,0.0006883490353456231,1.8724381397944072e-05,2.9508337446616734e-05,3.433697448333584e-05,9.12075884713608e-06,0.0005231023456445693
Saliva-03B,1.5227604794764574e-05,7.78761699612767e-05,2.3556848564799004e-05,4.087806074479826e-05,0.00016489793995359302,2.3972557657118983e-05,2.3210424321199017e-05,0.0003949236377039833,3.6720969821598437e-05,0.00013995539441439406
Saliva-03C,7.724313147184718e-06,7.11748917224157e-06,0.00010676233758362354,2.4466369029580395e-05,6.839462251450884e-05,3.3418835879040494e-05,4.28161458017657e-05,1.723766908902255e-05,1.4457399881115687e-05,0.00015791929100910984
Saliva-03D,2.194972995376354e-05,0.00016023302866247384,6.4880819422154e-05,4.949448911142759e-05,0.00036927192745743367,5.0290704805828806e-05,5.939338693371311e-05,0.0009477118697683787,3.098785405237206e-05,0.0003098785405237205
Saliva-03E,1.971273171494264e-05,2.4129060451079996e-05,0.00022961525267963223,2.483328802184884e-05,0.0008906625539776533,6.121220174340803e-05,0.0001225911942272613,0.0001551153886140857,1.3899228370437783e-05,0.00020292873420839168
Saliva-03F,9.860946679199052e-05,0.0007112997245641789,0.00014397392015274947,0.0002048200411696853,0.0006333138511481064,0.00012006396555595356,0.0002510973726473547,0.0026575186094861675,0.0008938380876149863,0.0004370636861779895
Saliva-03G,6.3087609934423e-05,0.0002004026239898878,6.394014520380708e-05,8.771640660551906e-05,0.0007280651200540166,6.899852113548605e-05,8.525352693840946e-05,0.0012282191447593519,8.411681324589732e-05,0.0002762214272804466
Saliva-03H,3.8410792746913476e-05,0.0005822229535021684,0.0002886962402315004,8.604280101017267e-05,0.00040757116267976535,5.8795914023618e-05,9.849636431427661e-05,0.0015178252002759408,0.00028680933670057564,0.0002852998138758357
Saliva-04A,5.199196372118536e-06,1.1295410720727884e-05,1.7288893960297784e-05,1.4983708098924748e-05,0.00010949632841521928,2.1380598864234927e-05,9.22074344549215e-06,9.797039910835409e-06,1.9017783356327563e-05,0.00016654967848420198
Saliva-04B,5.994744631023825e-05,0.00016722979635302315,0.00013146996568633894,8.830399361932432e-05,0.0006389440332356072,5.6334880296596244e-05,7.42805306127815e-05,0.0011082918107358374,9.268632580886895e-05,0.00023533123857854678
Saliva-04C,1.1184466535671354e-05,0.00010681698135210699,9.55472998333067e-06,1.5189570742730812e-05,0.0007222395895092005,1.0191711982219385e-05,2.792921072050504e-05,0.0001337662197666294,7.3497922948697475e-06,0.0002449930764956582
Saliva-04D,6.180407701962168e-06,3.378195905901532e-05,2.774245184352275e-05,1.3748471710064372e-05,9.525726827687458e-05,1.2079014430985128e-05,1.694008121418646e-05,0.00012471827908415537,1.9149657024732518e-05,0.0001404308181813718
Saliva-04E,7.340148975180738e-05,0.0002480293007748602,0.00013612304597874014,0.00011157205279466142,0.0012848781563772295,9.779264719605803e-05,0.0001561751660662599,0.004380617003735093,6.247006642650395e-05,0.00045194393735717686
